RecordID,RecordType,Title,Category,Location,SubmittedDate,ModeratedDate,ContributorRole,UserSegment,ReviewOrGuideText,Rating,Status,Language,Tags
HP-018,Survival Guide,How to Find Classrooms Quickly,Campus Life,Campus Buildings,2026-06-18,2026-06-19,First-year Student,International Student,Building signs are confusing at first. Taking screenshots of the map helped.,4,Approved,English,"classroom, map"
HP-019,Dorm Review,Studio Apartment Near 7-Eleven,Dormitory,Gate 1 Area,2026-06-19,2026-06-20,Senior Student,International Student,"Convenient location and private bathroom, but electricity bill is expensive.",4,Approved,English,"studio, bills"
HP-020,Cafeteria Review,Japanese Bento Stall,Cafeteria,Food Court Zone 3,2026-06-20,2026-06-21,Exchange Student,International Student,"Tasty and clean presentation, but price is higher than Thai food stalls.",4,Approved,English,"bento, price"
HP-021,Survival Guide,Where to Ask for Visa Support,Campus Service,International Office,2026-06-21,2026-06-22,International Student,International Student,"International Office explained the documents clearly, but appointments fill up fast.",5,Approved,English,"visa, international office"
HP-022,Dorm Review,Older Campus Dorm Block C,Dormitory,Block C,2026-06-22,2026-06-23,First-year Student,Local Student,"Affordable and near cafeteria, but bathroom maintenance needs improvement.",3,In Review,English,"maintenance, affordable"
HP-023,Cafeteria Review,Fruit Smoothie Shop,Cafeteria,Main Walkway,2026-06-23,2026-06-24,First-year Student,International Student,Fresh smoothies and easy ordering by pointing at pictures.,5,Approved,English,"smoothie, pictures"
HP-024,Survival Guide,Emergency Contacts for New Students,Campus Service,Online Guide,2026-06-24,2026-06-25,Senior Student,Local Student,Important phone numbers should be saved before arriving on campus.,5,Approved,English,"emergency, contacts"
HP-025,Dorm Review,Off-campus Shared House,Dormitory,Near University Road,2026-06-25,2026-06-26,International Student,International Student,Good for groups of friends. Transport is needed for morning classes.,3,Pending,English,"shared house, transport"
HP-026,Cafeteria Review,Korean Chicken Stall,Cafeteria,Food Court Zone 2,2026-06-26,2026-06-27,First-year Student,Local Student,Popular stall with crispy chicken. Waiting time is long during dinner.,4,Approved,English,"korean food, waiting"
HP-027,Survival Guide,How to Join Student Clubs,Campus Life,Student Activity Center,2026-06-27,2026-06-28,First-year Student,International Student,"Club fair was useful, but social media pages had more updated information.",4,Approved,English,"clubs, activity"
HP-028,Dorm Review,New Private Dorm with Gym,Dormitory,Gate 4 Area,2026-06-28,2026-06-29,Senior Student,Local Student,"Modern facilities and gym access, but deposit is expensive.",4,Approved,English,"gym, deposit"
HP-029,Cafeteria Review,International Food Day Booth,Cafeteria,Student Plaza,2026-06-29,2026-06-30,Exchange Student,International Student,Fun food event with different cultures. It should be announced earlier.,5,Approved,English,"event, international"
HP-030,Survival Guide,Campus Apps and Online Portals,Campus Service,Online Guide,2026-06-30,2026-07-01,First-year Student,International Student,A single guide for login steps would save time for new students.,4,Pending,English,"apps, portal, login"
